Sample,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,Sample_Weight
1,Ambient,OG,Low,0.00577
2,Ambient,OG,Low,0.00687
3,Ambient,OG,Low,0.00602
4,Ambient,OG,Low,0.00589
5,Ambient,OG,Low,0.00572
6,Elevated,OG,Low,0.00618
8,Elevated,OG,Low,0.00569
9,Elevated,OG,Low,0.00672
10,Elevated,OG,Low,0.00641
11,Ambient,MS,Low,0.00721
12,Ambient,MS,Low,0.00803
13,Ambient,MS,Low,0.00697
14,Ambient,MS,Low,0.00394
15,Ambient,MS,Low,0.00435
16,Elevated,MS,Low,0.00421
17,Elevated,MS,Low,0.00473
18,Elevated,MS,Low,0.00835
19,Elevated,MS,Low,0.00681
20,Elevated,MS,Low,0.00625
21,Ambient,EU,Low,0.00514
22,Ambient,EU,Low,0.00553
23,Ambient,EU,Low,0.00477
24,Ambient,EU,Low,0.00576
25,Ambient,EU,Low,0.00553
26,Elevated,EU,Low,0.00527
27,Elevated,EU,Low,0.00585
28,Elevated,EU,Low,0.00587
29,Elevated,EU,Low,0.00648
30,Elevated,EU,Low,0.00688
31,Ambient,HE,Low,0.00746
32,Ambient,HE,Low,0.00589
33,Ambient,HE,Low,0.00502
34,Ambient,HE,Low,0.00656
35,Ambient,HE,Low,0.00576
36,Elevated,HE,Low,0.00643
37,Elevated,HE,Low,0.00585
38,Elevated,HE,Low,0.00714
39,Elevated,HE,Low,0.00581
40,Elevated,HE,Low,0.00476
41,Ambient,OG,Medium,0.00405
42,Ambient,OG,Medium,0.00601
43,Ambient,OG,Medium,0.00634
44,Ambient,OG,Medium,0.00485
45,Ambient,OG,Medium,0.00627
46,Elevated,OG,Medium,0.00677
47,Elevated,OG,Medium,0.00665
48,Elevated,OG,Medium,0.00724
49,Elevated,OG,Medium,0.00683
50,Elevated,OG,Medium,0.0058
51,Ambient,MS,Medium,0.00631
52,Ambient,MS,Medium,0.00634
53,Ambient,MS,Medium,0.00673
54,Ambient,MS,Medium,0.0063
55,Ambient,MS,Medium,0.00654
56,Elevated,MS,Medium,0.00694
57,Elevated,MS,Medium,0.00587
58,Elevated,MS,Medium,0.00674
59,Elevated,MS,Medium,0.00706
60,Elevated,MS,Medium,0.00516
61,Ambient,EU,Medium,0.0034
62,Ambient,EU,Medium,0.00364
63,Ambient,EU,Medium,0.00475
64,Ambient,EU,Medium,0.00451
65,Ambient,EU,Medium,0.00556
66,Elevated,EU,Medium,0.00507
67,Elevated,EU,Medium,0.00453
68,Elevated,EU,Medium,0.00416
69,Elevated,EU,Medium,0.00515
70,Elevated,EU,Medium,0.00438
71,Ambient,HE,Medium,0.00456
72,Ambient,HE,Medium,0.004
73,Ambient,HE,Medium,0.00461
74,Ambient,HE,Medium,0.00448
75,Ambient,HE,Medium,0.00481
76,Elevated,HE,Medium,0.00491
78,Elevated,HE,Medium,0.00519
79,Elevated,HE,Medium,0.00454
80,Elevated,HE,Medium,0.00443
81,Ambient,OG,High,0.00377
82,Ambient,OG,High,0.00405
83,Ambient,OG,High,0.00406
84,Ambient,OG,High,0.00441
85,Ambient,OG,High,0.00388
86,Elevated,OG,High,0.00274
87,Elevated,OG,High,0.00362
88,Elevated,OG,High,0.00454
89,Elevated,OG,High,0.00404
90,Elevated,OG,High,0.00453
91,Ambient,MS,High,0.0044
92,Ambient,MS,High,0.00354
93,Ambient,MS,High,0.00389
94,Ambient,MS,High,0.00427
95,Ambient,MS,High,0.00367
96,Elevated,MS,High,0.00423
97,Elevated,MS,High,0.00374
98,Elevated,MS,High,0.00395
99,Elevated,MS,High,0.00417
100,Elevated,MS,High,0.00401
101,Ambient,EU,High,0.00399
102,Ambient,EU,High,0.00367
103,Ambient,EU,High,0.00388
104,Ambient,EU,High,0.004
105,Ambient,EU,High,0.00432
106,Elevated,EU,High,0.00435
107,Elevated,EU,High,0.00536
108,Elevated,EU,High,0.00467
109,Elevated,EU,High,0.0042
110,Elevated,EU,High,0.00498
111,Ambient,HE,High,0.0039
112,Ambient,HE,High,0.00558
113,Ambient,HE,High,0.00455
114,Ambient,HE,High,0.00553
115,Ambient,HE,High,0.00481
116,Elevated,HE,High,0.00465
117,Elevated,HE,High,0.00308
118,Elevated,HE,High,0.00542
119,Elevated,HE,High,0.00516
120,Elevated,HE,High,0.00468
