Sample,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,Delta_C,Total_C,Delta_N,Total_N,CN_Ratio
1,Ambient,OG,Low,-20.09,52.75,8.08,4.86,10.84716964
2,Ambient,OG,Low,-18.82,118.88,13.28,10.73,11.07786141
3,Ambient,OG,Low,-16.04,55.06,11.05,5.73,9.60428823
4,Ambient,OG,Low,-20.52,34.99,8.5,4.55,7.682044674
5,Ambient,OG,Low,-18.87,70.28,11.33,7.74,9.081847919
6,Elevated,OG,Low,-16.73,39.88,7.02,4.01,9.942129402
8,Elevated,OG,Low,-18.16,61.18,8.72,5.26,11.62156793
9,Elevated,OG,Low,-18.37,108.74,9.77,8.11,13.40101331
10,Elevated,OG,Low,-16.25,65.6,8.59,5.05,12.99751506
11,Ambient,MS,Low,-13.76,336.16,15.72,23.78,14.13434753
12,Ambient,MS,Low,-14.53,359.93,15.74,26.28,13.69500176
13,Ambient,MS,Low,-13.71,275.42,15.76,19.71,13.97216935
14,Ambient,MS,Low,-14.7,232.4,14.98,16.41,14.16471603
15,Ambient,MS,Low,-14.48,219.03,15.35,15.53,14.10517801
16,Elevated,MS,Low,-14.51,134.32,14.34,12.79,10.49836142
17,Elevated,MS,Low,-14.32,210.4,15.49,19.61,10.72769484
18,Elevated,MS,Low,-13.77,295.1,15.55,25.8,11.43918343
19,Elevated,MS,Low,-14.13,164.56,15.62,14.1,11.67055496
20,Elevated,MS,Low,-14.72,141.86,14.95,13.13,10.80300827
21,Ambient,EU,Low,-13.8,243.9,15.94,23.08,10.56749684
22,Ambient,EU,Low,-14.03,365.81,15.39,18.58,19.68398022
23,Ambient,EU,Low,-14.15,159.5,15.52,18.1,8.810606645
24,Ambient,EU,Low,-13.79,286.21,15.85,23.78,12.03421529
25,Ambient,EU,Low,-13.91,106.19,15.24,11.2,9.481029496
26,Elevated,EU,Low,-14.51,315.96,15.78,26.68,11.84267415
27,Elevated,EU,Low,-14.21,172.27,14.9,21.6,7.97610647
28,Elevated,EU,Low,-14.44,57.54,12.67,10,5.752049248
29,Elevated,EU,Low,-14.04,185.52,15.75,20.07,9.2452532
30,Elevated,EU,Low,-13.85,254.47,15.88,25.16,10.11531337
32,Ambient,HE,Low,-13.04,238.37,15.24,26.71,8.923149348
33,Ambient,HE,Low,-14,124.44,14.83,15.1,8.239617472
34,Ambient,HE,Low,-13.2,312.1,15.16,25.57,12.20666474
