Sample,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,TP,TN
1,Ambient,OG,Low,0.25,100.16
2,Ambient,OG,Low,0.25,82.97
3,Ambient,OG,Low,0.22,95.3
4,Ambient,OG,Low,0.2,97.28
6,Elevated,OG,Low,0.23,100.25
8,Elevated,OG,Low,0.22,101.96
9,Elevated,OG,Low,0.23,97.76
10,Elevated,OG,Low,0.23,101.17
11,Ambient,MS,Low,0.23,47.14
12,Ambient,MS,Low,0.37,68.94
13,Ambient,MS,Low,0.28,48.68
14,Ambient,MS,Low,0.23,45.41
15,Ambient,MS,Low,0.26,46.08
16,Elevated,MS,Low,0.35,70.02
17,Elevated,MS,Low,0.27,52.96
18,Elevated,MS,Low,0.24,52.81
19,Elevated,MS,Low,0.36,59.18
20,Elevated,MS,Low,0.37,62.73
21,Ambient,EU,Low,0.24,48.35
22,Ambient,EU,Low,0.23,48.63
23,Ambient,EU,Low,0.31,50.72
24,Ambient,EU,Low,0.31,50.17
25,Ambient,EU,Low,0.39,55.67
27,Elevated,EU,Low,0.33,51.57
28,Elevated,EU,Low,0.62,75.83
29,Elevated,EU,Low,0.45,57.49
30,Elevated,EU,Low,0.3,50.18
32,Ambient,HE,Low,0.59,38.05
33,Ambient,HE,Low,2.81,73.93
34,Ambient,HE,Low,0.83,43.34
35,Ambient,HE,Low,3.13,81
36,Elevated,HE,Low,1.96,59.6
37,Elevated,HE,Low,0.95,44.02
38,Elevated,HE,Low,0.64,38.92
39,Elevated,HE,Low,1.14,46.77
40,Elevated,HE,Low,1.18,50.81
41,Ambient,OG,Medium,0.19,98.79
42,Ambient,OG,Medium,0.2,101.24
43,Ambient,OG,Medium,0.21,99.04
45,Ambient,OG,Medium,0.2,99.68
46,Elevated,OG,Medium,0.24,108.24
48,Elevated,OG,Medium,0.21,106.13
49,Elevated,OG,Medium,0.26,122.67
50,Elevated,OG,Medium,0.23,108.63
51,Ambient,MS,Medium,0.34,65.42
52,Ambient,MS,Medium,0.31,77.58
53,Ambient,MS,Medium,0.38,75.22
54,Ambient,MS,Medium,0.39,72.44
55,Ambient,MS,Medium,0.35,73.47
56,Elevated,MS,Medium,0.35,78.26
57,Elevated,MS,Medium,0.37,84.26
58,Elevated,MS,Medium,0.36,73.61
59,Elevated,MS,Medium,0.33,81.41
60,Elevated,MS,Medium,0.35,80.82
61,Ambient,EU,Medium,0.71,63.57
62,Ambient,EU,Medium,0.66,55.81
63,Ambient,EU,Medium,0.72,69.86
65,Ambient,EU,Medium,0.54,42.15
66,Elevated,EU,Medium,0.45,52.33
67,Elevated,EU,Medium,0.71,70.52
68,Elevated,EU,Medium,0.67,72.6
69,Elevated,EU,Medium,0.65,54.9
70,Elevated,EU,Medium,0.43,46.19
71,Ambient,HE,Medium,1.5,49.97
72,Ambient,HE,Medium,2.39,63.95
73,Ambient,HE,Medium,2.21,63.05
74,Ambient,HE,Medium,3.78,90.41
75,Ambient,HE,Medium,1.9,57.93
76,Elevated,HE,Medium,2.33,64.34
78,Elevated,HE,Medium,0.62,35.13
79,Elevated,HE,Medium,0.78,38.5
80,Elevated,HE,Medium,1.12,46.62
81,Ambient,OG,High,0.23,101.8
82,Ambient,OG,High,0.21,101.67
83,Ambient,OG,High,0.21,105.81
84,Ambient,OG,High,0.23,109.9
85,Ambient,OG,High,0.22,105.2
86,Elevated,OG,High,0.25,110.42
87,Elevated,OG,High,0.22,109.35
88,Elevated,OG,High,0.24,110.26
89,Elevated,OG,High,0.21,106.67
90,Elevated,OG,High,0.23,108.41
91,Ambient,MS,High,0.56,87.73
92,Ambient,MS,High,0.46,82.52
93,Ambient,MS,High,0.4,74.24
94,Ambient,MS,High,0.36,74.59
95,Ambient,MS,High,0.49,84.81
96,Elevated,MS,High,0.39,87.26
97,Elevated,MS,High,0.48,87.18
98,Elevated,MS,High,0.53,93.68
100,Elevated,MS,High,0.55,99.58
101,Ambient,EU,High,0.88,64.76
102,Ambient,EU,High,0.71,63.14
103,Ambient,EU,High,0.68,53.24
104,Ambient,EU,High,0.83,62.9
105,Ambient,EU,High,0.63,50.12
106,Elevated,EU,High,0.89,69.96
107,Elevated,EU,High,0.56,48.4
108,Elevated,EU,High,0.73,73.77
109,Elevated,EU,High,0.89,75.38
110,Elevated,EU,High,0.58,53.73
111,Ambient,HE,High,2.07,60.76
112,Ambient,HE,High,0.65,31.94
113,Ambient,HE,High,2.28,66.08
114,Ambient,HE,High,0.76,34.65
115,Ambient,HE,High,2.38,65.58
116,Elevated,HE,High,2.19,65.27
117,Elevated,HE,High,0.78,38.38
118,Elevated,HE,High,2.56,69.05
119,Elevated,HE,High,1.11,38.71
120,Elevated,HE,High,1.98,58.65
